medalist_name,gender,sport,medal
Bair Badënov,male,archery,bronze
Ilario Di Buò,male,archery,silver
Im Dong-hyun,male,archery,gold
Jiang Lin,male,archery,bronze
Lee Chang-hwan,male,archery,gold
Li Wenquan,male,archery,bronze
Marco Galiazzo,male,archery,silver
Mauro Nespoli,male,archery,silver
Park Kyung-mo,male,archery,silver
Viktor Ruban,male,archery,gold
Xue Haifeng,male,archery,bronze
Bérengère Schuh,female,archery,bronze
Chen Ling,female,archery,silver
Guo Dan,female,archery,silver
Joo Hyun-Jung,female,archery,gold
Park Sung-hyun,female,archery,silver
Sophie Dodemont,female,archery,bronze
Virginie Arnold,female,archery,bronze
Yun Ok-hee,female,archery,bronze
Zhang Juanjuan,female,archery,gold
Aaron Armstrong,male,athletics,gold
Ainārs Kovals,male,athletics,silver
Alex Schwazer,male,athletics,gold
Alfred Kirwa Yego,male,athletics,bronze
Andrae Williams,male,athletics,silver
Andreas Thorkildsen,male,athletics,gold
Andrei Krauchanka,male,athletics,silver
Andretti Bain,male,athletics,silver
Andrew Steele,male,athletics,bronze
Andrey Silnov,male,athletics,gold
Angelo Taylor,male,athletics,gold
Asbel Kiprop,male,athletics,gold
Avard Moncur,male,athletics,silver
Bershawn Jackson,male,athletics,bronze
Brimin Kipruto,male,athletics,gold
Bruno de Barros,male,athletics,bronze
Bryan Clay,male,athletics,gold
Chris Brown,male,athletics,silver
Christian Cantwell,male,athletics,silver
David Neville,male,athletics,bronze
David Oliver,male,athletics,bronze
David Payne,male,athletics,silver
Dayron Robles,male,athletics,gold
Denis Nizhegorodov,male,athletics,bronze
Derek Miles,male,athletics,bronze
Dylan Armstrong,male,athletics,bronze
Edwin Soi,male,athletics,bronze
Eliud Kipchoge,male,athletics,silver
Emmanuel Callender,male,athletics,gold
Gerd Kanter,male,athletics,gold
Germaine Mason,male,athletics,silver
Godfrey Khotso Mokoena,male,athletics,silver
Ibrahim Camejo,male,athletics,bronze
Irving Saladino,male,athletics,gold
Ismail Ahmed Ismail,male,athletics,silver
Ivan Tsikhan,male,athletics,bronze
Jaouad Gharib,male,athletics,silver
Jared Tallent,male,athletics,bronze
Jefferson Pérez,male,athletics,silver
Jeremy Wariner,male,athletics,silver
José Carlos Moreira,male,athletics,bronze
Kenenisa Bekele,male,athletics,gold
Kerron Clement,male,athletics,silver
Keston Bledman,male,athletics,gold
LaShawn Merritt,male,athletics,gold
Leevan Sands,male,athletics,bronze
Leonel Suárez,male,athletics,bronze
Mahiedine Mekhissi-Benabbad,male,athletics,silver
Marc Burns,male,athletics,gold
Martyn Rooney,male,athletics,bronze
Mehdi Baala,male,athletics,bronze
Micah Kogo,male,athletics,bronze
Michael Bingham,male,athletics,bronze
Michael Mathieu,male,athletics,silver
Naoki Tsukahara,male,athletics,silver
Nelson Évora,male,athletics,gold
Nick Willis,male,athletics,silver
Nobuharu Asahara,male,athletics,silver
Phillips Idowu,male,athletics,silver
Piotr Małachowski,male,athletics,silver
Primož Kozmus,male,athletics,gold
Ramon Miller,male,athletics,silver
Reggie Witherspoon,male,athletics,gold
Richard Mateelong,male,athletics,bronze
Richard Thompson,male,athletics,silver
Robert Tobin,male,athletics,bronze
Samuel Wanjiru,male,athletics,gold
Sandro Viana,male,athletics,bronze
Shawn Crawford,male,athletics,silver
Shingo Suetsugu,male,athletics,silver
Shinji Takahira,male,athletics,silver
Sileshi Sihine,male,athletics,silver
Steve Hooker,male,athletics,gold
Tero Pitkämäki,male,athletics,bronze
Tomasz Majewski,male,athletics,gold
Tsegaye Kebede,male,athletics,bronze
Usain Bolt,male,athletics,gold
Vadim Devyatovskiy,male,athletics,silver
Valeriy Borchin,male,athletics,gold
Vicente de Lima,male,athletics,bronze
Virgilijus Alekna,male,athletics,bronze
Walter Dix,male,athletics,bronze
Wilfred Bungei,male,athletics,gold
Yaroslav Rybakov,male,athletics,bronze
Yevgeny Lukyanenko,male,athletics,silver
Agnes Osazuwa,female,athletics,silver
Allyson Felix,female,athletics,silver
Anna Chicherova,female,athletics,bronze
Barbora Špotáková,female,athletics,gold
Blanka Vlašić,female,athletics,silver
Blessing Okagbare,female,athletics,silver
Bobby-Gaye Wilkins,female,athletics,silver
Catherine Ndereba,female,athletics,silver
Chelsea Hammond,female,athletics,bronze
Christina Obergföll,female,athletics,bronze
Christine Ohuruogu,female,athletics,gold
Constantina Diță,female,athletics,gold
Dawn Harper-Nelson,female,athletics,gold
Elisa Rigaudo,female,athletics,bronze
Ene Franca Idoko,female,athletics,silver
Eunice Jepkorir,female,athletics,silver
Françoise Mbango Etone,female,athletics,gold
Gloria Kemasuode,female,athletics,silver
Gong Lijiao,female,athletics,bronze
Gölnara Galkina-Sämitevä,female,athletics,gold
Halimat Ismaila,female,athletics,silver
Hanna Mariën,female,athletics,gold
Hasna Benhassi,female,athletics,bronze
Hyleas Fountain,female,athletics,silver
Iryna Lishchynska,female,athletics,silver
Janeth Jepkosgei,female,athletics,silver
Jennifer Suhr,female,athletics,silver
Kelly Sotherton,female,athletics,bronze
Kerron Stewart,female,athletics,bronze
Kim Gevaert,female,athletics,gold
Kjersti Plätzer,female,athletics,silver
Linet Masai,female,athletics,bronze
Lucimar de Moura,female,athletics,bronze
Manuela Montebrun,female,athletics,bronze
Marilyn Okoro,female,athletics,bronze
Mariya Abakumova,female,athletics,silver
Mary Wineberg,female,athletics,gold
Maurren Maggi,female,athletics,gold
Melaine Walker,female,athletics,gold
Meseret Defar,female,athletics,silver
Monique Henderson,female,athletics,gold
Nancy Langat,female,athletics,gold
Nataliya Dobrynska,female,athletics,gold
Nataliya Tobias,female,athletics,bronze
Natasha Hastings,female,athletics,gold
Nicola Sanders,female,athletics,bronze
Novlene Williams-Mills,female,athletics,silver
Olena Antonova,female,athletics,silver
Olga Kaniskina,female,athletics,gold
Olivia Borlée,female,athletics,gold
Oludamola Osayomi,female,athletics,silver
Pamela Jelimo,female,athletics,gold
Priscilla Lopes-Schliep,female,athletics,bronze
Rosemar Coelho Neto,female,athletics,bronze
Rosemarie Whyte,female,athletics,silver
Rosângela Santos,female,athletics,bronze
Sally Pearson,female,athletics,silver
Sanya Richards-Ross,female,athletics,bronze
Shalane Flanagan,female,athletics,silver
Sheena Tosta,female,athletics,silver
Shelly-Ann Fraser-Pryce,female,athletics,gold
Shereefa Lloyd,female,athletics,silver
Shericka Williams,female,athletics,silver
Sherone Simpson,female,athletics,silver
Song Aimin,female,athletics,bronze
Stephanie Brown Trafton,female,athletics,gold
Svetlana Feofanova,female,athletics,bronze
Sylvia Jebiwott Kibet,female,athletics,bronze
Tasha Danvers,female,athletics,bronze
Tatyana Chernova,female,athletics,bronze
Thaissa Presti,female,athletics,bronze
Tia Hellebaut,female,athletics,gold
Tirunesh Dibaba,female,athletics,gold
Valerie Adams,female,athletics,gold
Veronica Campbell-Brown,female,athletics,gold
Yekaterina Volkova,female,athletics,bronze
Yelena Isinbayeva,female,athletics,gold
Yipsi Moreno,female,athletics,gold
Zhang Wenxiu,female,athletics,silver
Zhou Chunxiu,female,athletics,bronze
Élodie Ouédraogo,female,athletics,gold
Cai Yun,male,badminton,silver
Chen Jin,male,badminton,bronze
Fu Haifeng,male,badminton,silver
He Hanbin,male,badminton,bronze
Hendra Setiawan,male,badminton,gold
Hwang Ji-man,male,badminton,bronze
Lee Chong Wei,male,badminton,silver
Lee Jae-jin,male,badminton,bronze
Lee Yong-dae,male,badminton,gold
Lin Dan,male,badminton,gold
Markis Kido,male,badminton,gold
Nova Widianto,male,badminton,silver
Du Jing,female,badminton,gold
Lee Hyo-jung,female,badminton,silver
Lee Kyung-won,female,badminton,silver
Liliyana Natsir,female,badminton,silver
Maria Kristin Yulianti,female,badminton,bronze
Wei Yili,female,badminton,bronze
Xie Xingfang,female,badminton,silver
Yu Yang,female,badminton,gold
Zhang Ning,female,badminton,gold
Zhang Yawen,female,badminton,bronze
Adiel Palma,male,baseball,silver
Alexander Malleta,male,baseball,silver
Alexei Bell,male,baseball,silver
Alfredo Despaigne,male,baseball,silver
Ariel Pestano,male,baseball,silver
Blaine Neal,male,baseball,bronze
Bong Jung-keun,male,baseball,gold
Brandon Knight,male,baseball,bronze
Brett Anderson,male,baseball,bronze
Brian Barden,male,baseball,bronze
Brian Duensing,male,baseball,bronze
Casey Weathers,male,baseball,bronze
Chong Tae-hyon,male,baseball,gold
Dexter Fowler,male,baseball,bronze
Eduardo Paret,male,baseball,silver
Elier Sánchez,male,baseball,silver
Eriel Sánchez,male,baseball,silver
Frederich Cepeda,male,baseball,silver
Giorvis Duvergel,male,baseball,silver
Han Ki-joo,male,baseball,gold
Hyun-jin Ryu,male,baseball,gold
Héctor Olivera,male,baseball,silver
Jake Arrieta,male,baseball,bronze
Jang Won-sam,male,baseball,gold
Jason Donald,male,baseball,bronze
Jayson Nix,male,baseball,bronze
Jeff Stevens,male,baseball,bronze
Jeong Keun-woo,male,baseball,gold
Jeremy Cummings,male,baseball,bronze
Jin Kab-yong,male,baseball,gold
John Gall,male,baseball,bronze
Jonder Martínez,male,baseball,silver
Kang Min-ho,male,baseball,gold
Kevin Jepsen,male,baseball,bronze
Kim Dong-ju,male,baseball,gold
Kim Hyun-soo,male,baseball,gold
Kim Kwang-hyun,male,baseball,gold
Kim Min-jae,male,baseball,gold
Ko Young-min,male,baseball,gold
Kwon Hyuk,male,baseball,gold
Lee Dae-ho,male,baseball,gold
Lee Jin-young,male,baseball,gold
Lee Jong-wook,male,baseball,gold
Lee Seung-yuop,male,baseball,gold
Lee Taek-keun,male,baseball,gold
Lee Yong-kyu,male,baseball,gold
Lou Marson,male,baseball,bronze
Luis Miguel Navas,male,baseball,silver
Luis Miguel Rodríguez,male,baseball,silver
Matt LaPorta,male,baseball,bronze
Matthew Brown,male,baseball,bronze
Michel Enríquez,male,baseball,silver
Miguel Lahera,male,baseball,silver
Mike Hessman,male,baseball,bronze
Mike Koplove,male,baseball,bronze
Nate Schierholtz,male,baseball,bronze
Norberto González,male,baseball,silver
Norge Luis Vera,male,baseball,silver
Oh Seung-hwan,male,baseball,gold
Park Jin-man,male,baseball,gold
Pedro Luis Lazo,male,baseball,silver
Rolando Meriño,male,baseball,silver
Song Seung-jun,male,baseball,gold
Stephen Strasburg,male,baseball,bronze
Taylor Teagarden,male,baseball,bronze
Terry Tiffee,male,baseball,bronze
Trevor Cahill,male,baseball,bronze
Vicyohandri Odelín,male,baseball,silver
Yadier Pedroso,male,baseball,silver
Yoandry Urgellés,male,baseball,silver
Yoon Suk-min,male,baseball,gold
Yulieski Gurriel,male,baseball,silver
Andrés Nocioni,male,basketball,bronze
Antonio Porta,male,basketball,bronze
Berni Rodríguez,male,basketball,silver
Carlos Boozer,male,basketball,gold
Carlos Delfino,male,basketball,bronze
Carlos Jiménez,male,basketball,silver
Carmelo Anthony,male,basketball,gold
Chris Bosh,male,basketball,gold
Chris Paul,male,basketball,gold
Dwight Howard,male,basketball,gold
Dwyane Wade,male,basketball,gold
Fabricio Oberto,male,basketball,bronze
Federico Kammerichs,male,basketball,bronze
Felipe Reyes,male,basketball,silver
Jason Kidd,male,basketball,gold
Jorge Garbajosa,male,basketball,silver
José Calderón,male,basketball,silver
Juan Carlos Navarro,male,basketball,silver
Juan Pedro Gutiérrez,male,basketball,bronze
Kobe Bryant,male,basketball,gold
LeBron James,male,basketball,gold
Leonardo Gutiérrez,male,basketball,bronze
Luis Scola,male,basketball,bronze
Manu Ginóbili,male,basketball,bronze
Marc Gasol,male,basketball,silver
Michael Redd,male,basketball,gold
Pablo Prigioni,male,basketball,bronze
Paolo Quinteros,male,basketball,bronze
Pau Gasol,male,basketball,silver
Raül López,male,basketball,silver
Ricky Rubio,male,basketball,silver
Román González,male,basketball,bronze
Rudy Fernández,male,basketball,silver
Tayshaun Prince,male,basketball,gold
Álex Mumbrú,male,basketball,silver
Becky Hammon,female,basketball,bronze
